Club Name,District,Project Category,Project Title,Project Description
"North Shore, Long Island",New York,Clothing/shoe drive,Klothes for Kids,"""Back-to-school shopping for children in need."""
Hopkinsville,Kentucky-Tennessee,Clothing/shoe drive,Willie Renshaw Warm the Children Project,"""We work with school resources and our local Salvation Army to obtain families in need. We take them shopping for the children so they will have new winter clothing. Our goal is around 225-250 children. To date over 5,000 have been served with clothes and shoes."""
"Ozark Empire, Springfield",Missouri-Arkansas,Clothing/shoe drive,PTA/Kiwanis Shoe bank ,"""Since 1951 Kiwanis Club of Ozark Empire has partnered with The Springfield Public Schools to put shoes on students who are on free and reduced lunches.  These are brand new shoes and are personally fitted for the students by Kiwanis volunteers.   We are hands on."""
"Gold Country, Grass Valley",California-Nevada-Hawaii,Clothing/shoe drive,Back to School,"""Taking a child shopping for school clothes and giving them a backpack filled with school supplies """
"Three Rivers, Milo-Brownville",New England and Bermuda,Clothing/shoe drive,Secret Santa Project,"""Provide clothing and toys at Christmas tyime"""
Quebec,Eastern Canada and the Caribbean,Clothing/shoe drive,Habillement des enfants,"""Habiller pour l'hiver, de la tête aux pieds, environ 500 enfants défavorisés de la Ville de Québec."""
Tallahassee,Florida,Clothing/shoe drive,Christmas Shopping for Needy  Children ,"""We meet needy families at a local Target and take them shopping for clothes and toys so their children will have something for Christmas. The families are selected by the local school district. """
Pendleton,Pacific Northwest,Clothing/shoe drive,Happy Feet,"""Providing low income and homeless classified children thru school counselor with new shoes"""
Northwest Oklahoma City,Texas-Oklahoma,Clothing/shoe drive,Coats for Kids,"""Donate winter coats for elementary school kids who need them. We purchase approximately 200 coats per year for four schools in low income areas."""
Bethalto,Illinois-Eastern Iowa,Clothing/shoe drive,Coats for Kids,"""Every year our club purchases coats for children in the Bethalto School District"""
"Accomack, Onancock",Capital,Clothing/shoe drive,knit hats,"""Knit hats, made and donated by members and non-members, are distributed to those who need them through local churches, social services, and the pregnancy center."""
Roseville,California-Nevada-Hawaii,Clothing/shoe drive,Stepping Into School,"""Providing new athletic shoes at the start of the school year to K-5 students at disadvantaged schools in the district"""
Lebanon,Missouri-Arkansas,Clothing/shoe drive,Kids Shopping,"""every December club members and community members pair up with kids from Laclede County to shop for warm clothing and shoes at our local Walmart store.  in the past 10 years, we have shopped with over 4,400 children and spent over $390,000.  """
New Castle Henry County,Indiana,Clothing/shoe drive,Kiwanis Shoe Program,"""Provide shoes to Elem. students in Henry Co. We added Head Start, 1 intermediate & 1 middle school the past two years. Our 2023-24 school year goal is to provide over 500 pairs of new shoes with new socks to 500+ school children in 10 school bldg.'s (chosen by school staff)."""
Cedar Creek Lake,Texas-Oklahoma,Clothing/shoe drive,Project School bell,"""We take local school kids shopping for clothes. Everything from jackets, jeans, shirts, to socks, shoes, and underwear. """
Greater North Houston,Texas-Oklahoma,Clothing/shoe drive,Kids Christmas Party,"""Each December we host a Christmas party for forty students from ten Houston elementary schools. The children receive gifts of clothing items and toys, enjoy a buffet lunch, sing Christmas carols and have a visit from Santa. They also get passes for games at Dave and Busters."""
"Magic City, Barberton",Ohio,Clothing/shoe drive,MCK Esther Ryan Shoe Fund,"""Provide new shoes to income qualified children in the Barberton Schools"""
Kingman-Powerhouse,Southwest,Clothing/shoe drive,Clothe the Kids,"""Provide $175.00 shopping trip to Walmart first Saturday of December. Children shop with adult volunteer and are permitted to pick out items of clothing they desire. Santa in present with snacks provided by Walmart. Approx 150 needy children are served each yea"""
Mc Pherson,Kansas,Clothing/shoe drive,Kiwanis Caring for Kids,"""Working with the School Supply train vouchers are given out for a pair of shoes and a coat to children in grades Kindergarten through 5th.  Fundraiser are held throughout the year and donations are given to fund the project.  Last year 180 children received shoes."""
Lake Tahoe,California-Nevada-Hawaii,Clothing/shoe drive,Coats for Kids,"""The Coats for Kids project serves the local k-14 schools with winter coats for those children who otherwise wouldn't have one. Each year, we provide nearly 500 coats to children in need."""
Laramie,Rocky Mountain,Clothing/shoe drive,Coats For Kids,"""We give new coats to every student in the ACSD-1 that needs one.  It usually totals between 300 and 350 coats each year"""
Lillington,Carolinas,Clothing/shoe drive,Kiwanis Closet,"""Supplies for families displaced or in need because they are homeless. Have readily available clothes and necessities for all ages of children."""
Moberly,Missouri-Arkansas,Clothing/shoe drive,Moberly Schools Shoes from the Heart,"""We provide the necessary funding annually to provide shoes for children in need through Moberly Schools Shoes from the Heart Program."""
"Poudre Golden K, Ft. Collins",Rocky Mountain,Clothing/shoe drive,Coats and Boots,"""Coats and Boots is an activity the PGK has been actively involved in the past several years. The activity began when it was found that school-age children from economically challenged areas of Fort Collins did not have proper clothing for the colder climate of Northern Colorado."""
Findlay,Ohio,Clothing/shoe drive,Kiwanis Closets,"""Kiwanis has closets in each of the city and county elementary schools. We stock these as needed with childrens clothes (undergarmetns, pants, shirts, socks) so that teachers have a resource to aid when a student needs appropriate change of clothes """
Rocklin,California-Nevada-Hawaii,Clothing/shoe drive,K Kids,"""For over 25 years the club has taken kids in need in he community on a Christmas shopping spree, complete with a meet and greet with Santa. Key Club members and other local high school students and volunteers take the kids shopping. """
Chicoutimi,Eastern Canada and the Caribbean,Clothing/shoe drive,Habillement des jeunes,"""Habillement des jeunes de notre secteur référé par le centre de service scolaire et la DPJ. Principalement habillement pour l'hiver mais inclut aussi d'autres besoins si nécessaire. """
Sonora,California-Nevada-Hawaii,Clothing/shoe drive,Child Shopping Spree,"""74 economically disadvantaged kids shop for school clothes and school supplies"""
"Worthington, Linworth",Ohio,Clothing/shoe drive,Kiwanis Closets,"""We provide clothing for students in need at 13 school buildings in our school district."""
Paintsville,Kentucky-Tennessee,Clothing/shoe drive,New Shoes for Christmas,"""The signature project for Kiwanis Club of Paintsville is ""New Shoes for Christmas.""  Our club works diligently throughout the year to raise money to purchase 270 pair of new shoes for students in the greatest need at each school in our two local school systems."""
Kankakee,Illinois-Eastern Iowa,Clothing/shoe drive,Winter Warmth,"""Winter Warmth supplies coats to needy schoolchildren.   Last year, the club supplied 200 coats to children from grades kindergarten to sixth in Kankakee, Bradley and Bourbonnais schools. The club was fortunate to meet every request. The requests are coordinated by social workers """
Guthrie,Texas-Oklahoma,Clothing/shoe drive,Coats for Kids,"""We take children who have been identified by school personnel for their need of a coat, hat, gloves, etc. to WalMart to pick their own items.  When funds allow, we also let them purchase clothes, shoes, underclothes, etc."""
Medina,Ohio,Clothing/shoe drive,Christmas Shopping for kids,"""We take underprivileged students selected by the schools shopping in December, spending about $150 per child, usually about 90 student."""
Duluth-Norcross,Georgia,Clothing/shoe drive,Suited Seniors,"""Initiative to support high school Seniors with suits and dress attire for interviews and business events in support of their post secondary desires.."""
Elkton,Capital,Clothing/shoe drive,COATS FOR KIDS,"""Each fall, we send information of our project to the Department of Education of Cecil County and work with the schools to collect coats and get them cleaned and submit them to the Help Center for any person to come in and get a ""New to Them"" winter coat."""
Daytona Beach,Florida,Clothing/shoe drive,SCORE ONE FOR KIDS - GOLF TOURNAMENT at Sugar Mill Golf  and Country Club,"""MONEY RAISED FOR BACK TO SCHOOL CLOTHING PROGRAM, K-KIDS, BUILDERS CLUB & KEY CLUBS, SCHOLARSHIPS"""
"Eau Gallie, Suntree",Florida,Clothing/shoe drive,"Kids Closets -K-6 Elementary Schools ,Brevard County Fl.","""Our Kiwanis Club replenishes needed under garments,shorts,T-Shirts for boys & Girls , attending (Title One) Brevard County ,Florida Schools. Children K-6 grade are provided essentials by the School Nurse to return back to class room and not miss out ( Time on Learning).  """
Sachse-Wylie-Murphy,Texas-Oklahoma,Clothing/shoe drive,5 Loaves,"""SWM Kiwanis has taken on a service project by helping 5 Loaves Food Pantry become a clothing bank too!  The project involves sorting and tagging clothing items by size and type."""
Foothills (The),Minnesota-Dakotas,Clothing/shoe drive,Coats for Kids,"""We go through the 2 schools in our valley to get names of children that need a new winter coat.. We purchase coats for each child have them try them on & take them home  this year we handed out 59 new coats."""
Lenape Valley,New Jersey,Clothing/shoe drive,Clothe-a-child,"""The club holds a pizza challenge every June to raise funds for the project.  We work with the local elementary schools in Byram, Stanhope, Netcong and Hopatcong communities to identify kids in need for warm winter coats.  The schools provide qty, size, and sex of children in need"""
Bordentown,New Jersey,Clothing/shoe drive,Socks for The Needy,"""We collect socks during the town Halloween parade every year and donate to the local soup kitchen for distribution to those in need in our local community. We have been doing this for the past 8 years and are known for collecting socks in our community."""
Monterey Bay,California-Nevada-Hawaii,Clothing/shoe drive,Foster youth backpack program,"""Supply over 250 backpack and winter clothes to local Foster and homeless youth """
Poplarville,Louisiana-Mississippi-West Tennessee,Clothing/shoe drive,School Supply & Uniform Give-a-Way,"""The club purchases used and new school uniforms and distributes them to the schools in the District at the beginning of each school year as well as replenishes the supply throughout the year.  The club donates backpacks and school supplies to students throughout the year as well."""
Pott. Co.-Wamego,Kansas,Clothing/shoe drive,Shoe Drive,"""Our club conducts two local shoe drives per year.  Shoes are collected at local businesses throughout Wamego and taken to our Aktion Club at ResCare to be sorted and bagged.  This project provides money for club projects and an opportunity to serve our community."""
"Tambun, Perak",Malaysia,Clothing/shoe drive,Back To School ,"""Distribute school uniform every year to poor family children, orphanange, start from 2018 we have distribute more than one thousand school uniform set and stationary"""
Murray County,Georgia,Clothing/shoe drive,Shoes for Schools,"""Our club sold paper shoes at businesses throughout the county. We raised funds and were able to provide each school in our county with 10 pairs of new shoes for students. That was a total of 120 shoes."""
Media Area,Pennsylvania,Clothing/shoe drive,Annual PJ Drive,"""We collect winter pajamas and winter accessories such as hats, gloves, scarves for local children. """
Richmond Hill,Georgia,Clothing/shoe drive,Coats and Toys for Kids,"""Each November we hold a coat drive for the children on Bryan County.  This year we are adding toys and partnering with The Way Station Food Pantry to provide coats and toys for kids.  The coats and toys will be distributed in December so that kids have toys under the tree.  """
Waxahachie,Texas-Oklahoma,Clothing/shoe drive,Clothing Closet,"""Clothing closet for all school age kids."""
Haymarket-Gainesville,Capital,Clothing/shoe drive,Boxes of Basics,"""The Mission of Boxes of Basics is to provide children in need with a seasonal box of quality new and gently used clothing in their size."""
Henry County,Kentucky-Tennessee,Clothing/shoe drive,Kiwanis Kicks for Kids,"""We are collecting shoes for the various schools in our county to distribute to kids as needed from each school's family resource/youth services center. The need for shoes has been abundant and all sizes of sneakers were needed."""
Vermilion,Ohio,Clothing/shoe drive,Kiwanis Closet,"""Clothing and other items located at the Sailor Way Middle School Basement"""
Himalayas Nepal,Nepal,Clothing/shoe drive,"School bag, School Tracksuit and shoes distribution to basic level students ","""79"""
Orangevale Fair Oaks,California-Nevada-Hawaii,Clothing/shoe drive,Pajama Drive ,"""Every year we collect pajamas in October/November to donate to children in the community"""
Mt. Juliet,Kentucky-Tennessee,Clothing/shoe drive,Fill the Bus,"""Fill the Bus for Wilson County Schools Family Resource Center.   To help kids in school that do not have food on the weekends or need clothing."""
Black Hills Greater Rapid City Area (The),Minnesota-Dakotas,Clothing/shoe drive,School Shoe Project ,"""Shoes are distributed within the Rapid City Area Schools and the Douglas School District to youth identified as in need per the discretion of the McKinney Vento Program."""
Indiantown,Florida,Clothing/shoe drive,KCloset ,"""Clothing drive for Warfield Elementary"""
Albany,New York,Community athletics,Albany County Kiwanis Cross Country Track Meet,"""Albany County Kiwanis Cross Country Track Meet"""
Ashland,Kentucky-Tennessee,Community athletics,School Athletic Programs,"""The Kiwanis Bowl is the area’s oldest traditional sports event conducted entirely for charity, raising over $200,000 in the fun-filled years of this contest. The proceeds are used to help the athletic programs of the participating schools."""
Greater Waverly,Nebraska-Iowa,Community athletics,BB/SB concession stand,"""We sponsored the Miracle Field at the Cedar Park Ball Fields and run the concession stand for the 7 Fields"""
San Angelo,Texas-Oklahoma,Community athletics,Little Olympics,"""We have been running ""Little Olympics"" for more than 80 years.  This is a track and field event for grades 3-6. We run it in two afternoons, usually in the first week of May. We have about 40 schools represented. Medals are awarded for top 5 and ties in all categories."""
Miles City,Montana,Community athletics,Rural Spelling Bee & Track Meet,"""For 90+ years, Miles City Kiwanis has hosted the Annual Rural Spelling Bee & Track Meet. Schools from all over Custer County & home schooled students are invited to compete in a day of fun. The laughing, great sportsmanship, & more - all reasons why this event is so special."""
Austin,Minnesota-Dakotas,Community athletics,Track and Field,"""Austin Noon Kiwanis in partnership with Austin Park and Recreation host two summer ""Track and Field"" events.  This event is held at Wescott Field, the athletic field of Austin Public School.  This event is open to all children from ages 3 to 15.  """
Lead,Minnesota-Dakotas,Community athletics,Prospector Bowl,"""Club hosts a day of football at the beginning of the school year with tailgate meals, soft drinks and snacks"""
Fort Pierce Sunrise,Florida,Community athletics,Sunrise Kiwanis Park,"""A handicap accessible state of the art playground"""
Southern Hills Region,Ohio,Community athletics,Wiffle Ball Tournament - Spring and Fall,"""We host a Wiffle Ball Tournament twice a year for children and adults.  This event is free for children under 18.  The winners of the different age groups are awarded trophies.  Through generous sponsorship, we serve food and drinks.  """
North Orlando,Florida,Community athletics,North Orlando Kiwanis Little League,"""Opening Day"""
Clear Lake,Minnesota-Dakotas,Community athletics,Kiwanis Track Meet,"""We sponsor a High School track meet every spring (weather providing), supply workers and operate a lunch stand"""
Merritt Island,Florida,Community athletics,Kiwanis Junior Olympics,"""The Kiwanis Junior Olympics is an annual track and field event held at Merritt Island High School and features teams of 4th, 5th, and 6th grade students from local elementary schools.  The athletes compete in running, long jump, frisbee toss, and tug-of-war."""
Upland-Foothill,California-Nevada-Hawaii,Community athletics,Elementary Track Meet,"""Track Meet for 4th thru 6th graders.  Helped by Upland's Track Team"""
Santee,California-Nevada-Hawaii,Community athletics,JUNIOR OLYMPICS,"""This is a annual event sponsored by the Santee Kiwanis Club.  It's a signature event where (9) Santee middle schools participate in track and field events.  Scoring of these events determines a champion and is awarded a trophy. """
Roland,Nebraska-Iowa,Community athletics,Kiwanis Womens Softball Tournament,"""This is a three day tournament held in June that includes over 12 teams from nearby school districts."""
Corpus Christi Bay,Texas-Oklahoma,Community athletics,GOLDEN GLOVES,"""The Bay Club sponsors the regional Golden Gloves Tournament every February."""
West Citrus,Florida,Community athletics,Field Day,"""For the past 30+ years we have held a Field Day for the Key Training Center and CREST School which are organizations that aid the disabled.  We have many community members and other Kiwanis Clubs in the Division who participate in the event. Those who volunteer for this event com"""
San Bernardino,California-Nevada-Hawaii,Community athletics,Kiwanis Basketball Tournament,"""The Kiwanis Club of San Bernardino has hosted the Annual Basketball Tournament at the end of December for 60 years.  Sixteen teams compete over a four day period between Christmas and New Years.  Our Chairman is Danny Singleton and the Tournament is facilitated from Arroyo Valley"""
"De Amigos, Tucson",Southwest,Community athletics,Relay Races at UofA,"""Each spring we host a field and track event for Southern Arizona middle-schools. Events include relay races, high jump, broad jump and shot-put. Approximately 800 students from 25-30 schools attend."""
Des Moines,Nebraska-Iowa,Community athletics,Kiwanis Miracle League at Principal Park,"""The Kiwanis Miracle League is a specially designed ball park for kids with special needs.  Division 13 & 16 clubs in the metro Des Moines area manage the facility and all operations.  Over 250 kids with special needs play on 14 different teams, each with a uniform, coach & fun!"""
Shreveport,Louisiana-Mississippi-West Tennessee,Community athletics,Sponsor of the Bossier Parish Middle School Football Jamboree,"""Kiwanis Club of Shreveport-Bossier has sponsored the Bossier Parish Middle School jamboree for the past 48 years."""
Merced,California-Nevada-Hawaii,Community athletics,Merced County Junior Olympics,"""Since 1944, this is a track & field meet for all 4th thru 8th graders in any Merced County school.  The meet is held over 3 days and typically involves about 2100 student athletes plus their coaches,family members & friends.  Over 40 schools participate."""
Lancaster,Ohio,Community athletics,Youth Baseball,"""Youth Baseball program since 1964 - no cost to boys and girls"""
Weatherford,Texas-Oklahoma,Community athletics,Special Needs Children/Special Olympics Day,"""Support special needs children through participation in their annual Special Olympics. We provide T-Shirts for all Weatherford, Tx. participants and participate in the activities."""
DeLand,Florida,Community athletics,Junior Olympics,"""Elementary school track meet."""
Northfield,New England and Bermuda,Community athletics,Great River Challenge,"""Its a triathlon with age and abilities categories. A river race using Sculls, Kayaks or canoes.Bike course and a running course, all offroad!  """
Davis,California-Nevada-Hawaii,Community athletics,Norcal Trykes,"""Adaptive three wheel bikes for youth with disabilities assembled and provided at no charge to deserving youth and their families."""
Staunton,Capital,Community athletics,Staunton 2024 Youth Baseball ,"""Our club funds and conducts the Staunton Babe Ruth League Youth Baseball Program.  The program serves over 250 children from 4-12 years old, in 20+ teams, in 5 age-appropriate leagues:   """
Shawnee,Texas-Oklahoma,Community athletics,Kiwanis Little Olypics,"""Track & Field events for all Shawnee Elementary Students"""
Pembroke,Carolinas,Community athletics,5k Run,"""Annual 5k run during Lumbee Homecoming"""
Champaign-Urbana,Illinois-Eastern Iowa,Community athletics,Tom Jones Challenger League,"""This league was established over 25 years ago to allow children with various challenges to have the same experience as other children. We support a league that has grown from 2 teams to 10 teams. The league promotes understanding, inclusion and is admired by the local community."""
Springdale,Missouri-Arkansas,Community athletics,Kids Day Football and Cheerleading,"""This is a 2 week summer event for kids entering 1st grade thru 6th grade. Kids are divided into teams and after practicing 2 1/2 weeks, they play 2 games with championship games in each age group. Local high school cheerleaders coach girls to cheer and dance during the games. """
Ithaca-Cayuga,New York,Community athletics,Kiwanis Baseball Program,"""A project that began in 1945, today hundreds of boys and girls participate this baseball activity that aims to promote wellness, sportsmanship and fun.  Held the during the beginning of spring running until mid-June, this is a program in partnership with the Ithaca Youth Bureau."""
Saint Ignace,Michigan,Community athletics,Mackinac Island Road Race,"""Our club organizes the water stations and the start/finish line refreshments for the 8 mile run around Mackinac Island. """
Northwest Columbus,Ohio,Community athletics,Northwest Kiwanis Soccer,"""Since 1974 the Kiwanis Club of Northwest Columbus has operated our community's youth recreational soccer program. The program currently consists of boys and girls teams in three tiers of  leagues for youth in grades 1 through 6 plus programming for children with special needs."""
"Peninsula (The), Hewlett",New York,Community athletics,Special Field Day,"""For 40 years Peninsula Kiwanis has held Special Field Day and Family Picnic for the special needs children, adults and their families at Camp Anchor in Lido Beach. """
Bethesda,Capital,Community athletics,Miracle League of Montgomery County,"""The Miracle League gives ALL children the opportunity to get out in the sunshine, and enjoy playing the game of baseball in its purest form. It is the first of its kind in Maryland and serves children in Montgomery County, the surrounding counties, DC, and Virginia."""
Moses Lake,Pacific Northwest,Community athletics,Bicycle Activities Rodeo Give Away and Skills (BARGAS),"""Joint project with City of Moses Lake Dept of Recreation and Cultural Services and Trails Committee to provide bikes, helmets and other equipment to youth.  The goal is to encourage safe bicycling."""
Lafayette,Louisiana-Mississippi-West Tennessee,Community athletics,Kiwanis Club of Lafayette Jamboree,"""Preseason High School Football Tournament"""
Alcoa,Kentucky-Tennessee,Community athletics,AmTrykes,"""We provide individually designed and built tricycles for children who have physical disabilities.  The child's entire structure is measured so that each part of the tricycle is designed for that particular child.  The club members assemble the tricycle."""
Faroe Islands-Torshavn,Iceland-Faroes,Community athletics,Rowing Association for Youth,"""Rowing Association for Youth in Torshavn"""
West Liberty,Kentucky-Tennessee,Community athletics,July 4 Games,"""Games on Main Street"""
Bainbridge Island,Pacific Northwest,Community athletics,All Comers Track Meets,"""This annual event runs every Monday for six weeks beginning the first Monday after July 4th at the BHS track.  All ages are welcome and no pre-registration is required...just show up between 6:00 and 6:30pm and sign in!  Races begin at 6:30pm. The event is free!"""
Clinton,New York,Community athletics,Kiwanis Park,"""provides baseball field for Clinton Little League and soccer fields for Clinton AYSO"""
Woodlands (The)/South Montgomery County,Texas-Oklahoma,Community athletics,Special Olympics,"""Track and Field at The Woodlands High School"""
Alpena,Michigan,Community athletics,Kiwanis-Kiddie-Park,"""Safe, secure play area for small children along the Thunder Bay beach."""
Mandan,Minnesota-Dakotas,Community athletics,Youth Baseball,"""Our signature project is our support of youth baseball in Mandan.  Each year we solicit funds from Mandan businesses to assist our donation to the project to pay for shirts for participants as well as necessary equipment for the project.  """
Pekin,Illinois-Eastern Iowa,Community athletics,Bike Rodeo,"""Club provides the annual bike rodeo in June for the benefit of the Pekin Boys and Girls Club.  The Club pulls together the additional resources of local first responders and a bicycle shop to offer safety training, bicycling maintenance, free helmets, and bicycle prizes. """
Golden K Decatur,Illinois-Eastern Iowa,Community athletics,Golden K Kiwanis Elementary School Basketball League,"""In 2002, Golden K Kiwanis club partnered with the Decatur Public Schools, and the Decatur Park District to fund the ""Golden K Elementary School Basketball League"" at the Decatur Indoor Sport Center. Students and their families would have a good and safe place to play. """
Bellevue,Pacific Northwest,Community athletics,Annual Highland Games,"""Helping others reach their potential - For over 25 years our club sponsors and hosts the yearly Highland Games for people with disabilities. Teams come from all over the area to participate in multiple track and field events. This is their time to shine, and be recognized!"""
Rolla,Minnesota-Dakotas,Community athletics,ACTIVITY CALENDER,"""We put out a calendar with the dates and times for all school activities. also has contact person for all organizations in town"""
"Takena, Albany",Pacific Northwest,Community athletics,Track Meet,""" In partnership with the Boys' and Girls' Club of Albany and South Albany High School Track Team, South Albany Key Club, theTakena Kiwanis has sponsored a track meet for 2rd, 3rd, 4th and 5th grade kids since 1968. Over 200 kids participate in this event each year. """
Seminole,Florida,Community athletics,Horses 4 Handicapped,"""Support for the continued efforts of the Horses 4 Handicapped program that provides horse riding opportunities for children and young adult with debilitating physical and mental health issues.  The program also supports, and receives help from, 4-H Club and Girl Scouts.   """
Palm Springs,California-Nevada-Hawaii,Community athletics,Youth Baseball Clinic,"""Our club holds an annual free Youth Baseball Clinic in conjunction with former members of the LA Dodgers, providing instruction in baseball skills for boys and girls ages 7-16. Sponsored by community businesses and organizations, this event raises fund for college scholarships. """
Jackson County,Kentucky-Tennessee,Community athletics,Jackson County Little League,"""Our club raises funds to support the Jackson County Little League program and Bond Memorial Park."""
New Albany,Louisiana-Mississippi-West Tennessee,Community athletics,Kiwanis Hotbed Classic,"""Full day basketball tournament featuring teams from Mississippi and neighboring states.  The tournament began in 1992 and will be celebrating our 33rd annual event held on the fourth Saturday in January."""
"Minot, Golden K",Minnesota-Dakotas,Community athletics,Door Watchers and Ticket Takers,"""Our club's Signature Project is working at all types of youth sporting events. We watch doors and take tickets at basketball, volleyball, and baseball games for local, district, regional, and state events. """
"Springtime City, Clearwater",Florida,Community athletics,Ed Wells annual track meet at Clearwater HS,"""Track teams from surrounding counties come together to compete"""
Noranda,Eastern Canada and the Caribbean,Community athletics,Aire récréative Kiwanis-Agnico Eagle,"""Ce projet vise le développement des activités sportives gratuites offertes à la communanté, telles le ski de fond, la raquette, la plage, la pêche, le sentier pédestre. D'autres projets autour du lac Kiwanis sont prévus afin d'améliorer l'Aire Recréative K-A E."""
"Platte Valley, Saratoga",Rocky Mountain,Community athletics,Ice Skating Rink ,"""Ice Skating Rink to benefit kids and families; Community  5th year"""
Burley,Utah-Idaho,Community athletics,Youth Soccer,"""K-6 Coed Youth Soccer Leauge"""
"Fairmont, Early Risers",Minnesota-Dakotas,Community athletics,2024 Cedar Creek Park Disc Golf Shelter,"""Erect Shelter on West end of Cedar Creek Park with City of Fairmont and Fairmont Disc Golf Club. Shelter would benefit not only disc golfers but also people who go to the park to walk their dog, snow shoe or snowmobile."""
"Kalayaan, Quezon City",Philippine Luzon,Community athletics,Kiwanis Special Games,"""For the past 35 years, Kiwanis Club of Kalayaan, Quezon City have presented games that are especially suited for Children with Special Needs. The focus of Kiwanis Special Games is not much on being competitive, but to have a day of fun activities. """
San Leandro,California-Nevada-Hawaii,Community athletics,Special Olympics,"""Special Olympics Track and Field"""
Rockwall County,Texas-Oklahoma,Community athletics,Angel League,"""Our special needs baseball program for youth and adults allows all participants to play league style baseball suited to their individual abilities.  We provide the uniforms, team and individual pictures, sports banquet and awards. The parents are the coaches."""
Glenwood Springs,Rocky Mountain,Community athletics,Bike Rodeo Safety Fairs,"""We serve kids 3 - 12 years old from 3 separate communities of diverse ethnic & social backgrounds. Kids receive basic safety instruction from local police officers & they must complete a rules of the road mini course. We provide free helmets. Free ice cream for course completion."""
La Jolla,California-Nevada-Hawaii,Community athletics,La Jolla Half Marathon,"""Annual La Jolla Half Marathon from Del Mar to La Jolla Cove"""
Val D'Or,Eastern Canada and the Caribbean,Community athletics,Tournoi National M11 Kiwanis,"""Un tournoi de hockey pour les jeunes de 10 à 12 ans dans la catégorie M11."""
"Westshore - Victoria, BC",Pacific Northwest,Community athletics,Fundraising for a New Westshore Skateboard Park,"""Partnering with Westshore Parks & Recreation, the Westshore Skateboard Coalition, and seven municipalities to raise $766,000 for a large skateboard park, which would resolve the biggest complaint encountered in our site survey: a lack of free activities for children and youth."""
Peoria Downtown Earlybirds,Illinois-Eastern Iowa,Community athletics,Annual Allstar Game,"""Annual Basketball Game for High School Girls and Boys.  3 point contest and games with Most valuable player and 3 point contest winners.  Each player is given a jersey and t-shirt along with a write up in the program for the games.  It is usually the last organized basketball gam"""
Gulf Beaches,Florida,Community athletics,Miracle League,"""Our signature project allows us to work with developmentally disabled children so they have an opportunity to play ball."""
Lincoln-SouthPointe,Nebraska-Iowa,Community athletics,Miniature Golf Tourney,"""Now in it is 13th year, SouthPointe Kiwanis hosts a Miniature Golf Tourney and sponsors youth from various social service agencies in the Lincoln area (e.g. Salvation Army, Penguin Project, Christian Heritage Home, City Impact). It is a great opportunity for foster families, at-r"""
Greater Selma,California-Nevada-Hawaii,Community athletics,Greater Selma Kiwanis Baseball Tournament,"""Sponsor of the High School Tournment in the spring"""
Jennings-MO,Missouri-Arkansas,Community athletics,Annual Fishing Derby,"""Every June in cooperation with the city of Jennings, the Jennings School District and other non-profits, we host a fishing derby at our local park.  Our first responders participate, providing fishing help, food and friendly competition. """
Huntsville Muskoka,Eastern Canada and the Caribbean,Community athletics,Kiwanis Sap Run,"""Held annually at the end of April in concert with Muskoka Maple Festival, we have a series of children's road races. Participant's all get rewarded and a free pancake breakfast at the end. It's a fun event, a great addition to the festival and super exposure for Kiwanis."""
Div 1234 Santa Clara Special Games ,California-Nevada-Hawaii,Community athletics,Kiwanis Special Games,"""Kiwanis Special Games is an annual event that provides a fun & competitive day of activities for kids in Santa Clara County who are in the Adaptive Physical Education program.  It is all-inclusive, with games for all ages & abilities.  """
Ramble Hanover,Eastern Canada and the Caribbean,Community athletics,Run for Autism,"""Our signature project is in the form of 5km run in honor of persons who suffer from Austim. It takes place on the 5th Sunday in April each year, starting in 2018"""
West Lincoln,Eastern Canada and the Caribbean,Community athletics,West Lincoln Kiwanis and Smithville Christian High School Multi-Use Recreational Facilities.,""" We are very excited to have partnered with the Smithville Christian High School to design and build a 9 hole Disc Golf Course, triple Tennis Courts (also lined for Pickleball), Beach Volleyball Court and a small parkette. Open to all citizens of West Lincoln."""
Kantipur Kathmandu Nepal,Nepal,Community athletics,Children Park in Gyaneshwor Kathmandu Metropolitan 30 near Metropolitan Office,"""As stated earlier, the lack of public recreational parks has created a class inequality between the children. It has affected the underprivileged children significantly. Getting access to these sorts of refreshments impartially can help the children develop physically. """
Wright City,Missouri-Arkansas,Community athletics,Kiwanis Sports Closet,"""The Kiwanis Club of Wright City collects sports equipment, new and used, to make available to children in the community.  Our goal is to provide sports equipment so no child will be left behind because they couldn't afford the equipment."""
Rockaways,New York,Community athletics,Swimming at the Beach,"""We live near 2 bodies of water, the Atlantic Ocean and Jamaica Bay. Drowning is a big problem  for residents and children who live in Rockaway.  We raise money to sendIt has saved lives, children and adults to learn to swim.. """
Greater Euclid,Ohio,Community athletics,Empty Soup Bowl Project,"""Our organization has soup bowls made by local high school students, we then sell a bowl of soup and the bowl, proceeds go to local organization benefiting youth in Euclid"""
Courtenay,Pacific Northwest,Community service,Kiwanis Villages,"""Low cost housing complex for seniors"""
Wilmington,Capital,Community service,"Police, Fire & EMS Persons of theYear","""Quarterly and annually we honor the Police, Fire & EMS persons of the Year with a luncheon and dinner at the Hotel duPont"""
